Anno,Entità,Data Overshoot,Stato DOS,Biocapacità (Gha/persona),Imponta Eco(Gha/persona),Biocapacità Totale (M Gha),Impronta Eco Totale (M Gha),Quante Terre
2019,Australia,10 March,Disponibile,11.43,6.58,"289,918,496.27","166,953,439.51",4.3
2019,Brasile,18 August,Disponibile,8.33,2.47,"1,764,032,963.20","523,331,796.21",1.6
2019,Canada,14 March,Disponibile,14.78,8.33,"554,467,388.92","312,442,046.21",5.4
2019,Centro America,29 October,Disponibile,1.25,2.60,"206,160,842.99","428,056,988.91",1.7
2019,Cina,05 June,Disponibile,0.72,3.42,"1,045,843,357.56","4,978,808,708.11",2.2
2019,Egitto,15 December,Disponibile,0.21,1.56,"21,778,033.90","164,657,595.64",1.0
2019,Europa,05 May,Disponibile,3.17,4.82,"2,147,067,612.04","3,262,546,441.77",3.1
2019,Francia,06 May,Disponibile,2.78,5.24,"178,853,564.26","337,706,461.78",3.4
2019,Germania,03 May,Disponibile,1.65,4.84,"136,968,674.20","402,807,526.49",3.1
2019,Giappone,11 May,Disponibile,0.62,4.41,"77,960,896.42","554,531,549.38",2.9
2019,Italia,15 May,Disponibile,0.95,4.47,"56,568,171.33","267,110,387.33",2.9
2019,Lussemburgo,11 February,Disponibile,1.39,13.81,"859,733.66","8,561,817.00",9.0
2019,Mondo,29 July,Disponibile,1.54,2.69,"11,983,270,160.02","20,856,370,497.67",1.8
2019,Qatar,10 February,Disponibile,0.91,13.65,"2,560,011.94","38,310,359.73",8.9
2019,Regno Unito,04 May,Disponibile,1.21,4.34,"80,565,235.04","289,736,645.96",2.8
2019,Sud Africa,28 September,Disponibile,1.18,3.33,"68,605,736.06","193,194,997.06",2.2
2019,Sud America,06 October,Disponibile,4.88,2.56,"2,861,989,364.07","1,500,486,376.73",1.7
2019,USA,15 March,Disponibile,3.78,7.86,"1,265,047,995.35","2,628,132,975.84",5.1
2020,Africa,18 December,Disponibile,0.96,1.25,"1,146,138,281.83","1,503,350,348.60",0.8
2020,Asia,05 September,Disponibile,0.61,2.14,"2,607,025,338.50","9,107,649,277.39",1.4
2020,Australia,10 March,Disponibile,11.12,6.32,"285,348,257.51","162,155,230.20",4.1
2020,Brasile,25 August,Disponibile,8.27,2.40,"1,762,801,931.59","512,101,493.31",1.6
2020,Canada,15 March,Disponibile,14.69,7.49,"556,746,829.57","283,750,852.71",4.9
2020,Centro America,30 October,Disponibile,1.24,2.30,"205,163,458.53","380,710,941.08",1.5
2020,Cina,10 June,Disponibile,0.72,3.45,"1,044,578,954.72","5,029,049,607.91",2.3
2020,Egitto,20 December,Disponibile,0.22,1.46,"23,996,591.79","157,117,904.82",1.0
2020,Europa,05 May,Disponibile,3.18,4.43,"2,151,315,919.43","2,999,362,555.56",2.9
2020,Francia,07 May,Disponibile,2.54,4.61,"163,556,937.85","297,508,259.69",3.0
2020,Germania,04 May,Disponibile,1.66,4.43,"138,099,440.20","369,049,786.95",2.9
2020,Giappone,12 May,Disponibile,0.62,4.02,"77,381,271.02","503,618,606.69",2.6
2020,Italia,14 May,Disponibile,0.96,3.96,"57,410,159.19","235,963,255.61",2.6
2020,Lussemburgo,15 February,Disponibile,1.34,11.32,"843,947.30","7,138,166.15",7.4
2020,Mondo,22 August,Disponibile,1.53,2.52,"11,959,978,864.00","19,739,601,375.37",1.7
2020,Qatar,10 February,Disponibile,0.93,13.04,"2,557,953.33","36,003,524.20",8.5
2020,Regno Unito,09 May,Disponibile,1.07,3.79,"71,457,202.91","254,063,737.01",2.5
2020,Sud Africa,15 September,Disponibile,1.26,3.16,"74,176,826.21","185,936,437.19",2.1
2020,Sud America,10 October,Disponibile,4.83,2.38,"2,852,891,810.21","1,403,839,448.36",1.6
2020,USA,14 March,Disponibile,3.82,7.23,"1,282,327,308.00","2,429,325,731.51",4.7
2021,Africa,15 December,Disponibile,0.93,1.25,"1,143,598,074.91","1,533,355,933.53",0.8
2021,Asia,02 September,Disponibile,0.61,2.23,"2,628,031,925.44","9,563,570,175.41",1.5
2021,Australia,10 March,Disponibile,12.18,6.85,"315,723,834.02","177,679,603.88",4.5
2021,Brasile,20 August,Disponibile,8.19,2.60,"1,754,971,837.63","556,246,759.86",1.7
2021,Canada,14 March,Disponibile,13.99,6.67,"533,818,844.38","254,435,750.88",4.4
2021,Centro America,28 October,Disponibile,1.24,2.52,"207,616,302.56","420,303,766.97",1.7
2021,Cina,07 June,Disponibile,0.72,3.62,"1,050,103,134.74","5,275,181,641.65",2.4
2021,Egitto,22 December,Disponibile,0.23,1.43,"25,243,576.95","156,528,285.00",0.9
2021,Europa,05 May,Disponibile,3.19,4.80,"2,153,490,606.96","3,243,408,641.56",3.2
2021,Francia,07 May,Disponibile,2.72,5.23,"175,415,467.48","337,637,572.57",3.4
2021,Germania,04 May,Disponibile,1.65,4.60,"137,503,581.56","383,788,166.65",3.0
2021,Giappone,10 May,Disponibile,0.62,4.24,"77,782,809.86","528,903,678.96",2.8
2021,Italia,13 May,Disponibile,0.95,4.36,"56,602,304.79","258,659,974.83",2.9
2021,Lussemburgo,15 February,Disponibile,1.31,12.46,"835,778.11","7,967,224.57",8.2
2021,Mondo,29 July,Disponibile,1.52,2.66,"11,999,721,909.85","21,002,952,519.42",1.8
2021,Qatar,10 February,Disponibile,0.96,12.68,"2,576,186.66","34,094,987.50",8.3
2021,Regno Unito,10 May,Disponibile,1.13,4.07,"76,295,006.10","273,992,603.08",2.7
2021,Sud Africa,14 September,Disponibile,1.25,3.25,"74,505,798.17","192,878,653.11",2.1
2021,Sud America,05 October,Disponibile,4.78,2.57,"2,845,297,416.67","1,527,424,649.20",1.7
2021,USA,14 March,Disponibile,3.78,7.81,"1,274,599,934.25","2,631,958,102.93",5.1
2022,Africa,14 December,Disponibile,0.91,1.22,"1,144,965,003.16","1,534,476,787.74",0.8
2022,Asia,25 August,Disponibile,0.61,2.25,"2,624,298,590.50","9,707,522,452.35",1.5
2022,Australia,08 March,Disponibile,12.25,7.31,"320,715,400.06","191,282,777.92",4.9
2022,Brasile,15 August,Disponibile,8.14,2.41,"1,752,594,080.71","519,783,885.02",1.6
2022,Canada,14 March,Disponibile,14.45,8.36,"555,504,632.89","321,489,930.90",5.6
2022,Centro America,25 October,Disponibile,1.24,2.50,"208,009,135.52","421,333,279.07",1.7
2022,Cina,05 June,Disponibile,0.72,3.60,"1,047,605,279.41","5,251,984,893.22",2.4
2022,Egitto,10 December,Disponibile,0.23,1.44,"25,497,190.27","159,908,201.00",1.0
2022,Europa,04 May,Disponibile,3.16,4.87,"2,145,553,557.18","3,302,466,477.27",3.3
2022,Francia,07 May,Disponibile,2.59,5.06,"167,219,005.60","327,353,421.21",3.4
2022,Germania,03 May,Disponibile,1.63,4.61,"135,781,731.48","384,055,900.44",3.1
2022,Giappone,11 May,Disponibile,0.62,4.26,"76,908,941.58","528,578,875.77",2.8
2022,Italia,15 May,Disponibile,0.93,4.55,"54,929,366.47","268,754,181.94",3.0
2022,Lussemburgo,18 February,Disponibile,1.32,12.76,"853,974.21","8,260,588.51",8.5
2022,Mondo,28 July,Disponibile,1.5,2.68,"11,997,119,779.00","21,380,521,853.38",1.8
2022,Qatar,10 February,Disponibile,0.96,14.98,"2,576,267.45","40,376,754.60",10.0
2022,Regno Unito,10 May,Disponibile,1.14,4.01,"77,140,685.57","270,475,287.26",2.7
2022,Sud Africa,14 September,Disponibile,1.19,3.04,"71,479,318.75","182,361,736.55",2.0
2022,Sud America,30 September,Disponibile,4.76,2.48,"2,846,534,168.20","1,482,176,392.02",1.7
2022,USA,14 March,Disponibile,3.78,7.89,"1,277,865,088.04","2,670,724,406.44",5.3
2023,Africa,12 December,Disponibile,0.86,1.16,"1,070,821,534.84","1,443,487,855.72",0.8
2023,Asia,05 August,Disponibile,0.61,2.24,"2,624,632,893.57","9,719,944,691.01",1.5
2023,Australia,06 March,Disponibile,12.13,7.42,"320,650,116.62","196,151,281.98",5.0
2023,Brasile,12 August,Disponibile,8.1,2.41,"1,752,258,305.75","520,663,023.75",1.6
2023,Canada,13 March,Disponibile,14.32,8.24,"555,392,099.71","319,618,814.92",5.5
2023,Centro America,20 October,Disponibile,1.23,2.50,"208,027,686.16","424,095,160.99",1.7
2023,Cina,03 June,Disponibile,0.72,3.61,"1,047,327,209.59","5,263,989,473.98",2.4
2023,Egitto,01 December,Disponibile,0.23,1.37,"25,619,655.86","154,116,229.88",0.9
2023,Europa,03 May,Disponibile,3.16,4.69,"2,144,995,458.70","3,184,252,184.58",3.2
2023,Francia,07 May,Disponibile,2.58,4.82,"167,177,226.43","312,413,719.99",3.2
2023,Germania,02 May,Disponibile,1.63,4.24,"135,747,806.82","352,812,191.10",2.9
2023,Giappone,12 May,Disponibile,0.62,4.05,"76,852,381.75","499,213,175.32",2.7
2023,Italia,15 May,Disponibile,0.93,4.41,"54,915,642.53","259,725,710.11",3.0
2023,Lussemburgo,20 February,Disponibile,1.3,11.63,"853,760.85","7,617,212.85",7.8
2023,Mondo,02 August,Disponibile,1.49,2.65,"11,998,610,710.14","21,292,955,994.14",1.8
2023,Qatar,10 February,Disponibile,0.95,15.21,"2,576,343.83","41,328,393.50",10.2
2023,Regno Unito,10 May,Disponibile,1.14,3.85,"77,121,412.20","260,756,617.11",2.6
2023,Sud Africa,15 September,Disponibile,1.18,2.99,"71,478,791.52","180,752,796.21",2.0
2023,Sud America,25 September,Disponibile,4.72,2.48,"2,846,089,715.42","1,493,468,563.26",1.7
2023,USA,14 March,Disponibile,3.76,7.65,"1,277,652,475.10","2,599,447,353.63",5.1
2024,Africa,12 December,Disponibile,0.84,1.14,"1,072,055,055.58","1,448,504,225.59",0.8
2024,Asia,25 July,Disponibile,0.6,2.26,"2,624,956,493.41","9,859,254,397.41",1.5
2024,Australia,05 March,Disponibile,12.01,7.28,"320,577,195.95","194,342,691.45",4.9
2024,Brasile,10 August,Disponibile,8.05,2.39,"1,751,890,977.45","519,927,927.80",1.6
2024,Canada,13 March,Disponibile,14.2,8.11,"555,266,360.86","316,976,621.89",5.5
2024,Centro America,15 October,Disponibile,1.22,2.46,"208,041,592.05","421,483,996.02",1.7
2024,Cina,02 June,Disponibile,0.72,3.67,"1,047,003,495.77","5,355,682,118.77",2.5
2024,Egitto,20 November,Disponibile,0.22,1.31,"25,744,489.21","149,527,364.16",0.9
2024,Europa,03 May,Disponibile,3.16,4.69,"2,144,370,428.11","3,176,722,521.25",3.2
2024,Francia,07 May,Disponibile,2.57,4.77,"167,131,509.42","309,680,753.72",3.2
2024,Germania,02 May,Disponibile,1.63,4.18,"135,710,684.63","347,715,228.04",2.8
2024,Giappone,12 May,Disponibile,0.63,4.04,"76,793,710.27","494,942,827.81",2.7
2024,Italia,19 May,Disponibile,0.93,4.40,"54,900,625.06","258,226,215.47",3.0
2024,Lussemburgo,20 February,Disponibile,1.29,11.35,"853,527.37","7,505,995.69",7.7
2024,Mondo,01 August,Disponibile,1.48,2.64,"12,000,029,015.37","21,418,773,399.18",1.8
2024,Qatar,10 February,Disponibile,0.94,15.48,"2,576,339.03","42,379,419.60",10.5
2024,Regno Unito,10 May,Disponibile,1.13,3.81,"77,100,322.24","258,899,117.69",2.6
2024,Sud Africa,15 September,Disponibile,1.17,2.93,"71,479,418.59","178,570,979.78",2.0
